序号,大学英文名称,学位,专业英文名称,所属院系,Gemini最终毕业要求,处理状态,Gemini完整回答,原始回答1,原始回答2,原始回答3,重试第1次,重试第2次
63,University of Washington,PHD,Statistics (PhD)-Statistics in the Social Sciences,文理学院,"Comprehensive exams, a research dissertation with defense, consulting, an applied data analysis project, seminar participation, and a teaching assistantship are required.",SUCCESS,"Comprehensive exams, a research dissertation with defense, consulting, an applied data analysis project, seminar participation, and a teaching assistantship are required.","The first URL failed to load. The second URL, https://stat.uw.edu/academics/graduate/programs/phd, contains detailed graduation requirements under the ""Ph.D. Program"" section.

I need to extract the ""non-coursework"" requirements for the ""Statistics in the Social Sciences (CSSS) Track"".

Looking at the ""General Statistics Track"" for common requirements that might apply to all tracks:
- M.S. Theory Exam
- Research Prelim Exam
- Consulting (STAT 599)
- Applied Data Analysis Project (STAT 597)
- Statistics seminar participation (STAT 590)
- Teaching requirement (Teaching Assistant)
- General Exam
- Dissertation Credits (STAT 800)
- Passage of the Dissertation Defense

Now, I will specifically look at the ""Statistics in the Social Sciences (CSSS) Track"" section to see if there are any specific additional requirements or modifications.

The ""Statistics in the Social Sciences (CSSS) Track"" section states:
- ""Students in the Statistics in the Social Sciences (CSSS) Ph.D. track are required to take four numerically graded 500-level courses, including at least two CSSS courses or STAT courses cross-listed with CSSS, and at most two discipline-specific social science courses that together form a coherent program of study. These courses may be counted as the four required Ph.D.-level electives."" - This refers to coursework.
- ""Additionally, students must complete at least three quarters of participation (one credit per quarter) in the CS&SS seminar (CSSS 590)."" - This is similar to the general seminar participation.

It seems the general requirements for the PhD program, which include non-coursework elements, apply to all tracks unless explicitly stated otherwise. The CSSS track just specifies its coursework electives and seminar participation.

Therefore, the non-coursework requirements are likely those listed under the ""General Statistics Track"" that are not explicitly course numbers for credit, but rather activities or exams.

Let's re-evaluate the ""General Statistics Track"" for non-coursework items:
- M.S. Theory Exam
- Research Prelim Exam
- Consulting (Requires enrollment in STAT 599, but the requirement is the consulting itself)
- Applied Data Analysis Project (Requires enrollment in 3 credits of STAT 597, but the requirement is the project itself)
- Statistics seminar participation (Students must attend the Statistics Department seminar and enroll in STAT 590 for at least 8 quarters - the participation is the requirement)
- Teaching requirement (All Ph.D. students must satisfactorily serve as a Teaching Assistant for at least one quarter)
- General Exam
- Dissertation Credits (STAT 800) - This is coursework related to the dissertation.
- Passage of the Dissertation Defense

The key non-coursework requirements seem to be:
- M.S. Theory Exam
- Research Prelim Exam
- Consulting
- Applied Data Analysis Project
- Statistics seminar participation
- Teaching requirement
- General Exam
- Dissertation Defense

The prompt asks for ""one concise sentence"" and examples like ""Capstone or thesis option available"" or ""Comprehensive exam required"".

Given the detailed list, a ""research thesis"" is implied by ""Dissertation Credits"" and ""Passage of the Dissertation Defense"". ""Comprehensive exam"" is covered by ""M.S. Theory Exam"", ""Research Prelim Exam"", and ""General Exam"". ""Consulting"" and ""Applied Data Analysis Project"" are practical experiences. ""Seminar participation"" and ""Teaching requirement"" are also non-coursework activities.

I need to synthesize this into one concise sentence, focusing on the main overarching non-coursework requirements. The most prominent ones are the exams and the dissertation/thesis.

Let's try to combine them concisely.
""M.S. Theory Exam, Research Prelim Exam, General Exam, Dissertation Defense, consulting, applied data analysis project, seminar participation, and a teaching requirement are mandatory.""

This is a bit long for ""one concise sentence"". I should try to group them.
The exams are comprehensive/qualifying exams.
The dissertation is a research thesis.
Consulting and applied data analysis project are akin to practical work or projects.
Seminar participation and teaching requirement are also additional activities.

Let's simplify.
""Comprehensive examinations, a research dissertation with defense, consulting, an applied data analysis project, seminar participation, and a teaching requirement are mandatory.""

This still feels a bit long. The prompt examples are very short.
""Comprehensive exam required"" or ""Research thesis mandatory"".

Maybe I should focus on the most significant ones for a PhD, which are typically comprehensive/qualifying exams and a dissertation/thesis. The other items are also important but might be considered components of the overall program rather than ""beyond regular coursework"" in the same vein as a capstone or thesis. However, the prompt explicitly lists ""Internship / practicum hours"" and ""Mandatory fieldwork or research‐lab hours"" which consulting and applied data analysis could fall under.

Let's re-read the prompt: ""all graduation requirements that go beyond regular coursework"".
So, all items listed are relevant.

I need to find the most concise way to combine these.
""Comprehensive and preliminary exams, a research dissertation with defense, consulting, an applied data analysis project, seminar participation, and a teaching requirement are mandatory.""

Let's consider the example format: ""Capstone project required"", ""Research thesis mandatory"".
If I list everything, it becomes a list. The prompt says ""one concise sentence"".

The general exam and dissertation are typically the final hurdles for a PhD. The other items are also requirements.

Let me try to phrase it like: ""Multiple comprehensive and preliminary exams, a research dissertation with defense, consulting, an applied data analysis project, seminar participation, and a teaching requirement are mandatory.""

Let's try to categorize.
Exams: M.S. Theory Exam, Research Prelim Exam, General Exam. These are comprehensive/qualifying exams.
Research: Dissertation and Dissertation Defense. This is a research thesis.
Practical: Consulting, Applied Data Analysis Project.
Other: Statistics seminar participation, Teaching requirement.

""Comprehensive and preliminary exams, a research dissertation with defense, an applied data analysis project, consulting, seminar participation, and a teaching assistantship are required.""

This is still a long sentence.
Could I simplify to say ""Exams, a dissertation, practical projects, and a teaching requirement""?
This might be too vague.

Let's stick to the specific names if possible but combine them for conciseness.
""M.S. Theory, Research Prelim, and General Exams; a research dissertation with defense; consulting; an applied data analysis project; seminar participation; and a teaching requirement are mandatory.""

This is a list, but it's in one sentence. It adheres to ""all graduation requirements that go beyond regular coursework"".

Let me re-check the example format: ""Capstone project required"", ""Research thesis mandatory"".
This implies a very short, specific answer. If there are many, how do I handle it?
""If multiple options exist, describe them briefly (e.g., “Capstone or thesis option”)."" This implies choices, not a long list of distinct requirements.

Given the strict ""one concise sentence"" and ""no explanations"", simply listing them might be the best approach if they cannot be grouped under a single umbrella term.

However, ""Comprehensive/qualifying exam"" and ""Research thesis"" are already umbrella terms provided by the prompt.

So, I can definitely say ""Comprehensive exams and a research thesis with defense are required.""
But then I miss consulting, applied data analysis, seminar, and teaching.

Let's re-read the ""What to output"" section carefully:
""• Summarize the requirement(s) in one concise sentence—no quotes, no explanations.
• If multiple options exist, describe them briefly (e.g., “Capstone or thesis option”).
• If the program states there are no additional requirements, say so (e.g., “No additional graduation requirement”).
• If you do not find a clear statement from an .edu source, output Not found—never guess or invent.""

The requirements are distinct, not options. So the ""multiple options"" guidance doesn't directly apply for formatting a list of distinct items.

Given the desired conciseness, perhaps the most significant non-coursework components of a PhD are the exams and the dissertation.

Let's try to focus on the key requirements that define a PhD beyond just taking classes.
These are typically passing comprehensive/qualifying exams and completing a dissertation.

""Comprehensive and preliminary exams, a research dissertation with defense, and a teaching requirement are mandatory.""
This leaves out consulting, applied data analysis project, and seminar participation. Are these less significant ""beyond coursework"" requirements? The prompt asks for *all* requirements.

Let's check the wording of the requirements from the source again:
- M.S. Theory Exam
- Research Prelim Exam
- Consulting. Requires enrollment in STAT 599.
- Applied Data Analysis Project. Requires enrollment in 3 credits of STAT 597.
- Statistics seminar participation: Students must attend the Statistics Department seminar and enroll in STAT 590 for at least 8 quarters.
- Teaching requirement: All Ph.D. students must satisfactorily serve as",The,"The Ph.D. program requires a dissertation defense, a general exam, a research prelim exam, an M.S. theory exam, consulting, an applied data analysis project, statistics seminar participation, and a teaching assistantship.",,
64,University of Washington,MS,Aquatic & Fishery Sciences (MS)： DATA SCIENCE TRACK,环境学院,Research-based thesis typically required.,SUCCESS,Research-based thesis typically required.,Research thesis required.,"The first URL, the Admissions URL, was not accessible.
The second URL, the Program URL, contains relevant information.
Under the ""Master of Science (MS) Degree"" section, it states: ""The Master of Science (MS) degree, often precursory to the Doctor of Philosophy (PhD) degree, typically requires the student to complete a research-based thesis.""
It also mentions ""Data Science Option"", but it states that ""The primary learning outcome for the SAFS DSO is for students to have professional working proficiency – gained through coursework – in data management, data visualization, software engineering (data focused), and statistical modeling."" This suggests that the data science option's learning outcome is achieved through coursework and does not explicitly mention additional non-coursework requirements beyond the general MS thesis requirement.

Therefore, the non-coursework requirement is a research-based thesis.",Research thesis typically required.,,
65,University of Washington,PHD,Aquatic & Fishery Sciences (PhD)： DATA SCIENCE TRACK,环境学院,"Dissertation research, qualifying examination, general examination, and a final examination are required.",SUCCESS,"Dissertation research, qualifying examination, general examination, and a final examination are required.","Dissertation research, qualifying examination, general examination, and a final examination are required.","Qualifying and general examinations, dissertation research, and a final examination are required.","Research dissertation and qualifying, general, and final examinations required.",,
66,University of Washington,PHD,Earth and Space Sciences (PhD) ： DATA SCIENCE  TRACK,环境学院,"The non-coursework graduation requirements include a preliminary exam, a general exam with a dissertation research proposal and oral presentation, a final exam based on the dissertation and oral presentation, a dissertation, an experiential learning requirement, and a teaching experience requirement.",SUCCESS,"The non-coursework graduation requirements include a preliminary exam, a general exam with a dissertation research proposal and oral presentation, a final exam based on the dissertation and oral presentation, a dissertation, an experiential learning requirement, and a teaching experience requirement.","A preliminary exam, general exam, final exam, research dissertation, experiential learning, and teaching experience are required.","A preliminary exam, a general exam involving a written dissertation research proposal and oral presentation, a final exam based on the dissertation, a dissertation, an experiential learning requirement, and a teaching experience requirement are mandated.","The non-coursework graduation requirements include a preliminary exam, a general exam with a dissertation research proposal and oral presentation, a final exam based on the dissertation and oral presentation, an experiential learning requirement, and a teaching experience requirement.",,
67,University of Washington,PHD,Atmospheric Sciences (PhD)： DATA SCIENCE  TRACK,环境学院,"A research dissertation, a general examination, and a final examination (dissertation defense) are required.",SUCCESS,"A research dissertation, a general examination, and a final examination (dissertation defense) are required.",Not found,A dissertation and general examination are required.,"A research dissertation, a general examination, and a final examination (dissertation defense) are required.",,
68,University of Washington,PHD,Atmospheric Sciences (PhD)：ADVANCED DATA SCIENCE (ADS) TRACK,环境学院,No additional graduation requirement,SUCCESS,No additional graduation requirement,Not found,Thesis and qualifying exam required.,Not found,,
69,University of Washington,PHD, PhD (Public Policy & Management) ： DATA SCIENCE  TRACK,公共政策与治理学院,"Qualifying exams, a major area paper, a teaching assistantship, a general exam to propose the dissertation, dissertation work, and a final dissertation defense are required.",SUCCESS,"Qualifying exams, a major area paper, a teaching assistantship, a general exam to propose the dissertation, dissertation work, and a final dissertation defense are required.","Qualifying exams, a major area paper, a teaching assistantship, a general exam to propose the dissertation, dissertation work, and a final dissertation defense are required.",,The,,
70,University of Washington,PHD, PhD (Public Policy & Management) ：ADVANCED DATA SCIENCE (ADS) TRACK,公共政策与治理学院,"A dissertation, including a major area paper, is required.",SUCCESS,"A dissertation, including a major area paper, is required.","Qualifying exams, a major area paper, a teaching assistantship, and a dissertation with a general exam and final defense are required.","A dissertation, including a major area paper as its literature review, is required.",Not found,,
71,"Rutgers University, New Brunswick",MPI,Master of Public Informatics,规划与公共政策学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,Not found,Not found,No additional graduation requirement.,,
72,"Rutgers University, New Brunswick",MPI,Master of Public Informatics,规划与公共政策学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,Not found,"The browsed pages provide general information about the MPI program, including admission requirements, curriculum (core courses and electives), concentrations, and career opportunities. However, neither page explicitly states non-coursework graduation requirements such as a capstone project, thesis, or comprehensive exam for the Master of Public Informatics program. The ""Projects"" section on the MPI page mentions ""excellent state-of-the-art research driven project opportunities"" and ""students will have opportunities to work on real-world projects, research initiatives and other projects at these centers and labs at the school, and across Rutgers University"". This hints at projects but does not confirm if they are a *mandatory* graduation requirement.

I will now proceed with the suggested search query to find more definitive information.",,
73,Tufts University,MS,Nutrition Epidemiology and Data Science,营养科学与政策学院,Completion and submission of a degree requirement worksheet and completion of the Biomedical Research Group CITI modules required.,SUCCESS,Completion and submission of a degree requirement worksheet and completion of the Biomedical Research Group CITI modules required.,"The browsed pages provide general information about admissions and degree programs, but they do not explicitly state non-coursework graduation requirements like a capstone, thesis, or exam for the ""MS Nutrition Epidemiology and Data Science"" program. The ""Application Checklist"" page lists application requirements, not graduation requirements. The ""Degrees and Programs"" page lists the available degrees but doesn't detail their specific non-coursework graduation requirements. I need to find specific information about the ""MS Nutrition Epidemiology and Data Science"" program's graduation requirements.

I will perform the suggested Google search to find more specific information on an .edu domain.","The Admissions URL primarily discusses application requirements and prerequisites. The Program URL lists different degrees offered by the Friedman School, including the ""Master of Science in Nutrition"" and ""Online Master of Science in Nutrition"". Neither of these pages specifically details non-coursework graduation requirements such as a capstone, thesis, or exam for the ""MS Nutrition Epidemiology and Data Science"" program. The program is listed under ""Master of Science in Nutrition"" but the specific ""Epidemiology and Data Science"" specialization details are not immediately available on this page.

I will perform the suggested search query to find more specific information about the ""MS Nutrition Epidemiology and Data Science"" graduation requirements.",The MS Nutrition Epidemiology and Data Science program requires completion and submission of a degree requirement worksheet and completion of the Biomedical Research Group CITI modules.,,
74,Tufts University,MS,Nutrition Epidemiology and Data Science,营养科学与政策学院,No additional graduation requirement,SUCCESS,No additional graduation requirement,,Not found,Not found,,
75,Tufts University,PHD,Nutrition Epidemiology and Data Science,营养科学与政策学院,Research thesis and comprehensive exam required.,SUCCESS,Research thesis and comprehensive exam required.,Research thesis and comprehensive exam required.,A written and oral qualifying examination and a doctoral dissertation are required.,A comprehensive exam and a research thesis are required.,,
76,"Purdue University, West Lafayette",MS,Geodata Science,理学院,"Internship or applied research experience, a Master's project report, and an oral presentation are required.",SUCCESS,"Internship or applied research experience, a Master's project report, and an oral presentation are required.",An internship or applied research experience and a Master's project report are required.,The MS Geodata Science for Professionals program requires an internship or applied research experience culminating in a written project report and an oral presentation in a seminar.,"Internship or applied research experience, a Master's project report, and an oral presentation are required.",,
77,"Purdue University, West Lafayette",MS,Geodata Science,理学院,Internship or applied research experience and a Master's project report are required.,SUCCESS,Internship or applied research experience and a Master's project report are required.,"The Geodata Science for Professionals (GDSP) program requires an internship or applied research experience, a seminar, and a Master's project report.","The MS Geodata Science program requires a non-thesis Master's project report, an internship or applied research experience, and an oral presentation.",No additional graduation requirement.,,
78,"Purdue University, West Lafayette",MS,MS Data Science in Finance,理学院,An oral final exam is required.,SUCCESS,An oral final exam is required.,An oral final exam is required.,An oral final exam is required.,The,,
79,"Purdue University, West Lafayette",MS,MS Data Science in Finance,理学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,Not found,"The first URL provides general graduate program requirements for Statistics at Purdue West Lafayette but doesn't specify non-coursework requirements for the MS Data Science in Finance. It mentions ""Doctoral and Master's Degree Program Requirements"" and lists GPA, application deadlines, and contact information.

The second URL is specific to the ""M.S. Statistics Degree with Specialization in Computational Finance"". I need to carefully read this page to find any non-coursework requirements.

I'm looking for ""Capstone project"", ""Research thesis"", ""Comprehensive/qualifying exam"", ""Internship / practicum hours"", ""Mandatory fieldwork or research‐lab hours"", ""Professional portfolio"", ""Residency / clinical experience"".

The page states: ""The requirements for the Master's degree in Statistics with specialization in Computational Finance are typically completed in two intensive years. The resulting MS Statistics degree includes additional courses in mathematical and investment finance, and computational science.""

It then details ""Course Requirements"" which are all credit-based courses.

I also see ""Internship, career fairs, and recruiting programs at Purdue provide students with great opportunities before and upon graduation."" This mentions internships as opportunities but not as a mandatory graduation requirement.

I've reviewed both provided URLs. Neither mentions any non-coursework graduation requirements like a thesis, capstone, or comprehensive exam for the MS in Statistics with Specialization in Computational Finance (MS CF). The second URL details course requirements but does not mention any additional requirements beyond coursework.

Since I am asked to look for ""MS Data Science in Finance"", and the program URL is for ""M.S. Statistics Degree with Specialization in Computational Finance"", I will perform a search for ""Purdue University, West Lafayette College of Science MS MS Data Science in Finance graduation requirement capstone thesis practicum exam site:.edu"" to confirm.",An oral final exam is required.,,
80,"University of Maryland, College Park",MS,M.S. in Applied Political Analytics,行为与社会科学学院,A major project is required.,SUCCESS,A major project is required.,A major project is required.,A major project is required.,A major project is required.,,
81,"University of Maryland, College Park",MS,Survey and Data Science,行为与社会科学学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,Not found,A research experience yielding a scholarly paper and a summer internship are required.,Not found,,
82,"University of Maryland, College Park",PhD,Survey and Data Science,行为与社会科学学院,"A qualifying examination, a comprehensive examination, a dissertation, and a three-semester residency are required.",SUCCESS,"A qualifying examination, a comprehensive examination, a dissertation, and a three-semester residency are required.","The PhD in Survey and Data Science requires a qualifying examination, a comprehensive examination, a residency requirement, and a dissertation.","Qualifying and comprehensive examinations, a dissertation, a four-semester doctoral seminar, and a three-semester residency are required.","Qualifying examination, comprehensive examination, residency, and a dissertation are required.",,
83,Northeastern University（Boston）,MS,Data and Systems,工程学院,Industry-based challenge project required.,SUCCESS,Industry-based challenge project required.,No additional graduation requirement.,Industry-based challenge project required.,Project or thesis option available.,"状态: SUCCESS, 结果: Industry-based challenge project required....",
84,Northeastern University（Boston）,MS,Data and Systems,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,Not found,Not found,Master's thesis or report option available.,,
85,Northeastern University（Boston）,MS,Applied Quantitative Methods and Social Analysis,社会科学与人文学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,The,,
86,Northeastern University（Boston）,MS,Applied Quantitative Methods and Social Analysis,社会科学与人文学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,,
87,Northeastern University ,MS,Applied Quantitative Methods and Social Analysis,东北大学（弗吉尼亚州阿灵顿）,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,,
88,Northeastern University ,MS,Applied Quantitative Methods and Social Analysis,东北大学（弗吉尼亚州阿灵顿）,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement,,
89,"University of Minnesota, Twin Cities",MS,M.S. in Data Science for Chemical Engineering and Materials Science,理工学院,Capstone project option available,SUCCESS,Capstone project option available,Capstone project option available.,Capstone project option available.,Capstone project option available.,,
90,"University of Minnesota, Twin Cities",PHD,health informatics：Data Science & Informatics Track,健康信息学研究所,Doctoral thesis required.,SUCCESS,Doctoral thesis required.,Doctoral thesis required.,Capstone project and doctoral thesis research required.,Research thesis and internship are required.,,
91,"Pennsylvania State University, University Park",PHD,Social Data Analytics,人文科学学院,Comprehensive exam and dissertation required.,SUCCESS,Comprehensive exam and dissertation required.,Comprehensive exam and dissertation research are required.,The,Comprehensive exam and dissertation required.,,
92,Rensselaer Polytechnic Institute,MENG,Biomedical Data Science,工程学院,No additional graduation requirement,SUCCESS,No additional graduation requirement,No additional graduation requirement.,No additional graduation requirement,No additional graduation requirement,,
93,Rensselaer Polytechnic Institute,MENG,Biomedical Data Science,工程学院,No additional graduation requirement,SUCCESS,No additional graduation requirement,No additional graduation requirement,No additional graduation requirement.,No additional graduation requirement.,,
94,"University of Massachusetts, Amherst",MS,Economics,社会与行为科学学院,Research thesis or field experience/practicum required.,SUCCESS,Research thesis or field experience/practicum required.,Research thesis or practicum option available.,Not found,Research thesis or field experience/practicum required.,,
95,"University of Massachusetts, Amherst",MS,Economics,社会与行为科学学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,Not found,The,No additional graduation requirement.,,
96,University of Miami,MS, Master of Science in Data Science：Smart Cities (School of Architecture),文理学院,"Internship, project, or capstone required.",SUCCESS,"Internship, project, or capstone required.","Internship, project, or capstone required.","Internship, project, or capstone required.","Internship, project, or capstone required.",,
97,University of Miami,MS, Master of Science in Data Science：Data Visualization (School of Communication),文理学院,"Internship, project, or capstone required.",SUCCESS,"Internship, project, or capstone required.","Internship, project, or capstone option available.","Internship, project, or capstone required.","Internship, project, or capstone required.",,
98,University of Miami,MS, Master of Science in Data Science：Marine & Atmospheric Science (Rosenstiel School of Marine & Atmospheric Sciences),文理学院,"Internship, project, or capstone required.",SUCCESS,"Internship, project, or capstone required.","Internship, project, or capstone required.","Internship, project, or capstone required.","Internship, project, or capstone required.",,
99,University of Miami,MS, Master of Science in Data Science：Educational Measurement & Statistics (School of Education & Human Development),文理学院,"Internship, project, or capstone required.",SUCCESS,"Internship, project, or capstone required.","Internship, project, or capstone required.","Internship, project, or capstone required.","Internship, project, or capstone required.",,
100,University of Miami,MS, Master of Science in Data Science：Marketing (Miami Herbert Business School),文理学院,"Internship, project, or capstone required.",SUCCESS,"Internship, project, or capstone required.","Internship, project, or capstone required.",,"Internship, project, or capstone required.",,
101,Villanova University,MACDA,Master of Accounting with Data Analytics,商学院,Capstone program required.,SUCCESS,Capstone program required.,A capstone program is required.,Capstone program required.,The,,
102,Villanova University,MACDA,Master of Accounting with Data Analytics,商学院,Capstone program required.,SUCCESS,Capstone program required.,A capstone project is required.,A capstone program is required.,Capstone program required.,,
103,Villanova University,MBT,MASTER OF BUSINESS TAXATION WITH DATA ANALYTICS,商学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,The,No additional graduation requirement.,,
104,Villanova University,MBT,MASTER OF BUSINESS TAXATION WITH DATA ANALYTICS,商学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,,
105,Tulane University,MA,Political Economy with Data Analytics,文学院,No additional graduation requirement,SUCCESS,No additional graduation requirement,Not found,No additional graduation requirement,No additional graduation requirement.,,
106,"University at Buffalo, SUNY",MS,Data Analysis in the Social Sciences MS,文理学院,A research project or thesis is required.,SUCCESS,A research project or thesis is required.,Research project or thesis required.,A research project or thesis is required.,Research project or thesis required.,,
107,"University at Buffalo, SUNY",MS,Data Analysis in the Social Sciences MS,文理学院,Research project or thesis required.,SUCCESS,Research project or thesis required.,Research project or thesis required.,Research project or thesis required.,A research project or thesis is required.,,
108,"University at Buffalo, SUNY",MS,Materials Design and Innovation MS,工程与应用科学学院,Semester Master's project required.,SUCCESS,Semester Master's project required.,Semester Master's Project required.,Semester Master's project required.,A semester master's project is required.,,
109,"University at Buffalo, SUNY",PhD,Materials Design and Innovation PhD,工程与应用科学学院,Comprehensive exam and PhD thesis required.,SUCCESS,Comprehensive exam and PhD thesis required.,Comprehensive exam and research thesis required.,Comprehensive exam and PhD thesis are required.,Comprehensive exam and PhD thesis required.,,
110,University of Delaware,MS ,Master of Science in Bioinformatics Data Science ,农业与自然资源学院,A research thesis with an oral defense or a special problems project is required.,SUCCESS,A research thesis with an oral defense or a special problems project is required.,A research thesis with an oral defense or a special problems project is required.,The Master of Science in Bioinformatics Data Science program requires either a research thesis with a final oral examination or special problems credits.,Research thesis or special problems project required.,,
111,University of Delaware,MS ,Master of Science in Bioinformatics Data Science ,农业与自然资源学院,A research thesis with a final oral examination or a special problems project is required.,SUCCESS,A research thesis with a final oral examination or a special problems project is required.,The,The,The Master of Science in Bioinformatics Data Science program requires either a research thesis with a final oral examination or a special problems project.,,
112,University of Delaware,PhD,Bioinformatics Data Science,农业与自然资源学院,"Research thesis, preliminary exam, and candidacy exam are required.",SUCCESS,"Research thesis, preliminary exam, and candidacy exam are required.",Research thesis and comprehensive examinations are required.,"The ""PhD in Bioinformatics Data Science"" page lists ""Other Requirements"" beyond coursework. These include:

*   Formation of Graduate Dissertation Committee
*   Successful completion of Graduate Preliminary Exam
*   Research on a significant scientific problem
*   Successful completion of Ph.D. Candidacy Exam
*   Successful completion of Dissertation Defense

The key non-coursework requirements are the preliminary exam, candidacy exam, significant research, and the dissertation defense. The formation of the committee supports these.
Based on the instructions, I need to summarize these in one concise sentence.

Research thesis, preliminary exam, candidacy exam, and dissertation defense are required.","Research thesis, preliminary exam, and candidacy exam are required.",,
113,University of Delaware,PhD,Bioinformatics Data Science,农业与自然资源学院,"Preliminary exam, candidacy exam, research thesis, and oral defense are required.",SUCCESS,"Preliminary exam, candidacy exam, research thesis, and oral defense are required.","Preliminary exam, candidacy exam with research proposal defense, and a doctoral dissertation with an oral defense are required.","A research thesis, a preliminary examination, a candidacy examination, and a dissertation defense are required.",Research thesis and comprehensive/qualifying exams required.,"状态: PARSE_ERROR, 结果: PARSE_ERROR_RETRY_1: 'NoneType' object is not subs...","状态: SUCCESS, 结果: Preliminary exam, candidacy exam, research thesis,..."
114,Clemson University,PhD,Biomedical Data Science and Informatics,工程，计算机和应用科学学院,"Comprehensive examination, dissertation, dissertation proposal, and dissertation defense are required.",SUCCESS,"Comprehensive examination, dissertation, dissertation proposal, and dissertation defense are required.","Qualifying exam, comprehensive examination, dissertation proposal, dissertation defense, and a dissertation are required.",Comprehensive examination and a research dissertation with a proposal and defense are required.,"Comprehensive exam, dissertation proposal, and dissertation defense are required, along with a dissertation.",,
115,Clemson University,MS,Biomedical Data Science and Informatics,工程，计算机和应用科学学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,,
116,Marquette University,MS,Criminal Justice Data Analytics ,文理学院,Practicum required,SUCCESS,Practicum required,Practicum required,Practicum required.,Practicum required,,
117,Marquette University,MS,Criminal Justice Data Analytics ,文理学院,Practicum required,SUCCESS,Practicum required,Practicum required,Practicum required,Practicum required.,,
118,Temple University,PSM,Bioinformatics and Biological Data Science PSM,科学技术学院,Internship or research as part of a final capstone project is required.,SUCCESS,Internship or research as part of a final capstone project is required.,Internship or research as part of a final capstone project is required.,An internship or research is required as part of the final capstone project.,Internship and capstone project required.,,
119,University of Oregon,MS,Education Policy and Leadership,教育学院,Applied research project required.,SUCCESS,Applied research project required.,An applied research project is required.,Applied research project required.,Applied research project/Master's project as a capstone required.,"状态: SUCCESS, 结果: Applied research project required....",
120,Illinois Institute of Technology,M.S.,Master of Science in Biomedical Modeling and Data Science,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,Not found,No additional graduation requirement.,The,,
121,University of Arizona,MS,Agricultural & Resource Econ (MS) - Applied Econometrics and Data Analytics,农业与生命科学学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,,
